"date","samples","bases sequenced (MB)"
"2021-07-23","39",37925.13
"2021-07-23","39",587772.6800000002
"2021-07-29","40",622615.05
"2021-08-04","37",644704.5499999998
"2021-08-04","40",43349.01
"2021-08-06","20",48065.79000000001
"2021-08-11","40",48612.44999999998
"2021-08-13","19",48496.24999999999
"2021-08-18","40",641759.92
"2021-08-19","18",50940.54
"2021-08-20","39",41401.13
"2021-08-23","23",3728499.3099999996
"2021-08-27","7",440231.9
"2021-08-27","16",51504.44
"2021-08-27","40",48307.51000000001
"2021-09-01","40",619213.5399999999
"2021-09-01","48",3478434.960000001
"2021-09-07","24",1622456.7800000003
"2021-09-09","20",49262.84999999999
"2021-09-10","40",42402.68000000001
"2021-09-10","39",636567.7999999999
"2021-09-16","48",3144510.8499999996
"2021-09-16","38",606261.3499999999
"2021-09-16","17",49115.86
"2021-09-17","39",39590.5
"2021-09-23","17",48239.77999999999
"2021-09-24","40",586318.7099999998
"2021-09-28","47",3499606.7700000005
"2021-09-29","40",42856.77
"2021-10-03","47",6497149.380000002
"2021-10-05","38",630789.2800000001
"2021-10-06","40",624812.06
"2021-10-06","40",43265.57000000001
"2021-10-08","17",50147.85
"2021-10-11","40",35357.52
"2021-10-11","47",3431853.55
"2021-10-13","40",44078.729999999996
"2021-10-15","19",51522.41999999999
"2021-10-16","47",6912669.779999999
"2021-10-18","40",38719.450000000004
"2021-10-21","16",48947.979999999996
"2021-10-22","48",7232997.709999998
"2021-10-22","40",41844.82000000001
"2021-10-26","40",42034.95999999999
"2021-10-28","20",42164.66
"2021-10-29","39",50388.000000000015
"2021-11-02","20",51260.91
"2021-11-03","50",6762844.200000001
"2021-11-10","17",50474.659999999996
"2021-11-12","38",50996.83000000001
"2021-11-12","35",653142.4699999999
"2021-11-12","99",1987333.3499999999
"2021-11-12","101",1986485.4199999997
"2021-11-16","47",6705167.249999999
"2021-11-18","20",52525.159999999996
"2021-11-19","40",45177.14
"2021-11-26","48",7148068.359999999
"2021-11-26","39",47515.38999999999
"2021-12-01","15",51548.28
"2021-12-03","39",45720.259999999995
"2021-12-09","17",47675.28
"2021-12-09","48",6641354.27
"2021-12-13","16",37593.240000000005
"2021-12-14","40",46285.96999999998
"2021-12-15","38",641855.3800000001
"2021-12-16","18",45125.57000000001
"2021-12-21","40",43948.009999999995
"2021-12-22","48",7223762.449999999
"2021-12-23","19",42158.76999999999
"2021-12-27","40",48314.099999999984
"2021-12-29","20",46175.63
"2021-12-30","40",43670.259999999995
"2022-01-05","46",7108070.759999998
"2022-01-07","36",45219.04
"2022-01-12","19",42642.65000000001
"2022-01-14","48",6608349.64
"2022-01-14","36",44924.83999999999
"2022-01-17","8",4281.7
"2022-01-20","3",604803.7999999999
"2022-01-21","17",40560.86000000001
"2022-01-24","40",42615.09000000001
"2022-01-24","8",3599.3599999999997
"2022-01-25","36",5603021.04
"2022-01-27","19",45794.68
"2022-01-31","8",3961.2
"2022-02-02","40",43736.93
"2022-02-02","17",291092.60000000003
"2022-02-03","8",4230.37
"2022-02-04","20",46646.29000000001
"2022-02-07","48",7334615.8999999985
"2022-02-09","40",46717.53999999999
"2022-02-10","8",4173.51
"2022-02-11","20",44196.57999999999
"2022-02-16","40",45266.2
"2022-02-16","12",94274.09
"2022-02-18","8",4647.75
"2022-02-18","20",39919.14000000001
"2022-02-18","48",7104658.650000002
"2022-02-23","19",51171.560000000005
"2022-02-24","3",615730.18
"2022-02-24","40",47886.39999999999
"2022-03-02","16",243387.41000000003
"2022-03-02","40",46632.93
"2022-03-04","47",7135619.65
"2022-03-04","14",40993.36
"2022-03-07","17",34372.21
"2022-03-09","40",47727.60999999999
"2022-03-11","20",44051.969999999994
"2022-03-14","8",4486.28
"2022-03-15","1",148299.14
"2022-03-17","19",43187.920000000006
"2022-03-18","40",48378.59
"2022-03-21","19",49203.049999999996
"2022-03-24","17",39052.77999999999
"2022-03-29","8",4337.150000000001
"2022-03-30","16",46761.170000000006
"2022-03-30","43",6620140.470000002
"2022-03-31","40",50181.87
"2022-04-01","15",294617.65
"2022-04-05","8",3492.0099999999998
"2022-04-06","18",40795.06
"2022-04-08","20",289701.22
"2022-04-08","48",7213945.310000001
"2022-04-08","40",50548.49
"2022-04-11","8",4163.650000000001
"2022-04-13","40",47457.180000000015
"2022-04-14","19",46616.990000000005
"2022-04-20","40",45667.13999999999
"2022-04-21","48",7271967.610000002
"2022-04-25","18",53341.14000000001
